电商运营总监,广州金麒翔商贸有限公司,广州-天河区,2.5-3.5万/月,07-25
亚马逊运营总监（服装品牌项目）,婕��（香港）��子商�沼邢薰�司,广州-越秀区,2-2.5万/月,07-25
电商运营总监,广东逢春制药有限公司,广州-番禺区,1-2万/月,07-25
运营总监,广东医么网络科技有限公司,广州-海珠区,1.5-2万/月,07-25
跨境电商运营总监,青为国际贸易（广州）有限公司,广州-白云区,2-10万/月,07-25
APP运营总监,广州玖的数码科技有限公司,广州-天河区,0.5-1万/月,07-25
天猫运营总监（美妆类目）,广州迪爱化妆品有限公司,广州-白云区,1.5-3万/月,07-25
皮肤科运营总监,广州博研医疗美容门诊部有限公司,异地招聘,2.5-3万/月,07-25
品牌运营总监,小蝌蚪众创电商科技（广州）有限公...,广州-白云区,2-3万/月,07-25
新媒体运营总监,广州市惠邦信息科技有限公司,广州-天河区,1.5-2万/月,07-25
运营总监,珠江影业传媒股份有限公司,广州-越秀区,15-20万/年,07-25
电商运营总监,广州市澳源科技集团有限公司,广州-番禺区,1-2万/月,07-25
社群运营总监,广州快兔物流科技有限公司,广州-天河区,2.5-3万/月,07-25
企业家俱乐部运营总监,广东中信盈创科技研究院有限公司,异地招聘,1-1.5万/月,07-25
电商运营总监/经理,广州东奥电气有限公司,广州,1-1.5万/月,07-25
电商运营总监,广州市肌肤秘钥生物科技有限公司,广州-番禺区,1.5-3万/月,07-25
地产运营总监,广铝集团有限公司,广州,3-4万/月,07-25
运营总监,广州禾木文化有限公司,广州-越秀区,0.8-2万/月,07-25
门户网站平台运营总监,佛山市赛羽极限运动用品有限公司,异地招聘,30-40万/年,07-25
运营总监/经理,广州彩猫网络科技有限公司,广州-番禺区,1.5-3万/月,07-25
运营总监、合伙人,正溢（广州）税务师事务所（普通合...,广州-番禺区,10-40万/年,07-25
品牌运营总监,广东晟田医药科技集团有限公司,广州-黄埔区,1.5-2万/月,07-25
运营总监,广东美邦控股集团股份有限公司,广州-花都区,1-1.2万/月,07-25
淘宝店长/电商运营总监,广州市绿伴电子商务有限公司,异地招聘,0.8-1.2万/月,07-25
跨境电商运营总监,广州毕思特科技有限公司,广州-番禺区,1.5-2万/月,07-25
社交电商运营总监,广州市水汇坊服饰有限公司,广州-天河区,2-2.5万/月,07-25
淘宝天猫运营总监,广州联帮电子商务有限公司,广州-白云区,0.6-3万/月,07-25
物流总监/运营总监,广州丰乔物流有限公司,广州-白云区,1.2-1.8万/月,07-25
互联网公司运营总监,广州市金人投资管理有限公司,广州-天河区,2-2.5万/月,07-25
新媒体运营总监,广州市张晓岚广告有限公司,广州-天河区,2-3万/月,07-25
亚马逊运营经理/亚马逊运营总监/亚马逊运营主管,广州宏昕实业有限公司,广州-白云区,1-1.5万/月,07-25
运营总监,广州丰得利实业公司,广州,0.8-2万/月,07-25
